userID,movieID,originalTitle,rating,review date
ur4593421,tt0109370,Canadian Bacon,10,16 January 2005
ur3446219,tt0395169,Hotel Rwanda,7,16 January 2005
ur3446219,tt0338751,The Aviator,10,16 January 2005
ur4531500,tt0349683,King Arthur,3,16 January 2005
ur4013711,tt0086960,Beverly Hills Cop,10,16 January 2005
ur0521881,tt0332452,Troy,6,16 January 2005
ur3174947,tt0080455,The Blues Brothers,10,16 January 2005
ur2074560,tt0075261,Squirm,2,16 January 2005
ur0157498,tt0103874,Bram Stoker's Dracula,7,16 January 2005
ur3066329,tt0289879,The Butterfly Effect,8,16 January 2005
ur3446219,tt0290002,Meet the Fockers,6,16 January 2005
ur2567136,tt0110776,Le parfum d'Yvonne,6,16 January 2005
ur0157498,tt0238546,Queen of the Damned,3,16 January 2005
ur2074560,tt0054333,Ein Toter hing im Netz,3,16 January 2005
ur3976881,tt0080365,American Gigolo,5,16 January 2005
ur3066329,tt0375173,Alfie,7,16 January 2005
ur2707735,tt0032285,Brother Orchid,8,16 January 2005
ur2082018,tt0296658,Go-yang-i-leul boo-tak-hae,9,16 January 2005
ur0157498,tt0102034,Highlander II: The Quickening,1,16 January 2005
ur4590696,tt0365677,Red Water,3,16 January 2005
ur4157001,tt0080934,The Island,1,16 January 2005
ur3800949,tt0349903,Ocean's Twelve,9,16 January 2005
ur3174947,tt0112573,Braveheart,10,16 January 2005
ur0157498,tt0142804,Resurrection,3,16 January 2005
ur0808507,tt0375063,Sideways,10,16 January 2005
ur3148015,tt0316732,Taxi,1,16 January 2005
ur3679103,tt0178868,Ringu,10,16 January 2005
ur1355507,tt0082533,The Howling,5,16 January 2005
ur4523728,tt0327056,Mystic River,4,16 January 2005
ur4593736,tt0167456,Thunderbirds,9,16 January 2005
ur4557989,tt0382357,Land of Plenty,4,16 January 2005
ur4593726,tt0086081,Party Party,9,16 January 2005
ur4531500,tt0365748,Shaun of the Dead,10,16 January 2005
ur4589592,tt0293508,The Phantom of the Opera,10,16 January 2005
ur2074560,tt0088100,Shark: Rosso nell'oceano,1,16 January 2005
ur3877341,tt0263488,Jeepers Creepers,7,16 January 2005
ur2074560,tt0100665,Soultaker,6,16 January 2005
ur1580268,tt0116275,A Family Thing,8,16 January 2005
ur0677266,tt0134847,Pitch Black,6,16 January 2005
ur2488512,tt0056876,Boca de Ouro,9,16 January 2005
ur4066513,tt0307453,Shark Tale,7,16 January 2005
ur1683802,tt0138094,The Sex Killer,6,16 January 2005
ur2074560,tt0088772,Boggy Creek II: And the Legend Continues,1,16 January 2005
ur0139258,tt0107247,Jack the Bear,10,16 January 2005
ur4594181,tt0108174,So I Married an Axe Murderer,10,16 January 2005
ur0139258,tt0075261,Squirm,7,16 January 2005
ur0139258,tt0060672,Mars Needs Women,6,16 January 2005
ur3127857,tt0081470,The Sea Wolves,1,16 January 2005
ur0941716,tt0375210,White Noise,2,16 January 2005
ur2472494,tt0333766,Garden State,10,16 January 2005
ur4246249,tt0198781,"Monsters, Inc.",10,16 January 2005
ur4594126,tt0111175,Shrunken Heads,1,16 January 2005
ur0137908,tt0241025,Vanity Fair,8,16 January 2005
ur4594210,tt0333766,Garden State,10,16 January 2005
ur4582622,tt0293508,The Phantom of the Opera,10,16 January 2005
ur4594265,tt0338751,The Aviator,1,16 January 2005
ur0580218,tt0335266,Lost in Translation,5,16 January 2005
ur0137908,tt0104522,Into the West,8,16 January 2005
ur0677266,tt0062708,Bandolero!,5,16 January 2005
ur1683855,tt0346491,Alexander,7,16 January 2005
ur0745306,tt0092513,Adventures in Babysitting,6,16 January 2005
ur4594263,tt0175880,Magnolia,10,16 January 2005
ur1552298,tt0240510,The Four Feathers,8,16 January 2005
ur0992453,tt0091544,Monster in the Closet,5,16 January 2005
ur3174947,tt0289879,The Butterfly Effect,8,16 January 2005
ur0361658,tt0094361,You Talkin' to Me?,2,16 January 2005
ur0940861,tt0395169,Hotel Rwanda,9,16 January 2005
ur4325948,tt0067023,Duel,10,16 January 2005
ur2666030,tt0118163,The Whole Wide World,10,16 January 2005
ur0361658,tt0092074,TerrorVision,5,16 January 2005
ur1771950,tt0385267,In Good Company,9,16 January 2005
ur4594361,tt0097883,Millennium,1,16 January 2005
ur4115540,tt0120263,Sånger från andra våningen,7,16 January 2005
ur0980825,tt0128545,Smells Like... Sex,10,16 January 2005
ur2722549,tt0374900,Napoleon Dynamite,9,16 January 2005
ur4594395,tt0338096,Dirty Dancing: Havana Nights,2,16 January 2005
ur2074560,tt0075343,Track of the Moon Beast,1,16 January 2005
ur4594430,tt0349903,Ocean's Twelve,10,16 January 2005
ur3630955,tt0059017,Cat Ballou,1,16 January 2005
ur0309070,tt0358294,Into the Sun,4,16 January 2005
ur4573174,tt0303661,Anita & Me,10,16 January 2005
ur4590573,tt0120804,Resident Evil,8,16 January 2005
ur4594483,tt0356618,The Forgotten,10,16 January 2005
ur3595664,tt0383139,The Reagans,10,16 January 2005
ur0018365,tt0061592,Doomsday Machine,3,16 January 2005
ur0375636,tt0230512,Mayor of the Sunset Strip,7,16 January 2005
ur2632044,tt0293508,The Phantom of the Opera,10,16 January 2005
ur4561315,tt0361925,Welcome to Mooseport,1,16 January 2005
ur0018365,tt0275067,Wendigo,4,16 January 2005
ur2632044,tt0062622,2001: A Space Odyssey,10,16 January 2005
ur0731316,tt0241243,Les bicyclettes de Belsize,10,16 January 2005
ur1082071,tt0365748,Shaun of the Dead,8,16 January 2005
ur4594739,tt0377744,A Day Without a Mexican,2,16 January 2005
ur4594740,tt0396962,Shwaas,10,16 January 2005
ur1647537,tt0366174,Anacondas: The Hunt for the Blood Orchid,9,16 January 2005
ur4594426,tt0110413,Léon,10,16 January 2005
ur2069364,tt0125022,Heartbreakers,10,16 January 2005
ur4594830,tt0092099,Top Gun,6,16 January 2005
ur2444068,tt0144249,The Incredible Genie,7,16 January 2005
ur1907398,tt0339291,A Series of Unfortunate Events,9,16 January 2005
ur4547644,tt0363473,Beyond the Sea,10,16 January 2005
ur1019294,tt0037101,"Murder, My Sweet",8,16 January 2005
ur1907398,tt0290002,Meet the Fockers,6,16 January 2005
ur1907398,tt0362270,The Life Aquatic with Steve Zissou,8,16 January 2005
ur4594830,tt0300556,Timeline,8,16 January 2005
ur1601212,tt0275719,Tape,8,16 January 2005
ur1907398,tt0338751,The Aviator,9,16 January 2005
ur4594898,tt0293508,The Phantom of the Opera,10,16 January 2005
ur2705247,tt0357277,Elektra,10,16 January 2005
ur1591077,tt0285531,Dreamcatcher,1,16 January 2005
ur4111911,tt0082971,Raiders of the Lost Ark,10,16 January 2005
ur0470968,tt0280609,Dog Soldiers,2,16 January 2005
ur4593110,tt0315327,Bruce Almighty,3,16 January 2005
ur4594830,tt0091203,Highlander,9,16 January 2005
ur4594746,tt0357179,A Sight for Sore Eyes,8,16 January 2005
ur2614772,tt0377066,The Ghost Club,10,16 January 2005
ur2449095,tt0338751,The Aviator,6,16 January 2005
ur0200029,tt0120890,Wild Things,9,16 January 2005
ur4594942,tt0151568,Topsy-Turvy,10,16 January 2005
ur2326544,tt0217505,Gangs of New York,7,16 January 2005
ur4594999,tt0071130,Amazing Grace,10,16 January 2005
ur4594973,tt0063060,Hellfighters,9,16 January 2005
ur3864781,tt0119517,Your Friends and Neighbors,8,16 January 2005
ur1976369,tt0357277,Elektra,5,16 January 2005
ur2020269,tt0285742,Monster's Ball,5,16 January 2005
ur1464855,tt0318627,Resident Evil: Apocalypse,10,16 January 2005
ur3778826,tt0375210,White Noise,2,16 January 2005
ur1123934,tt0255477,Pinocchio,6,16 January 2005
ur2759155,tt0376541,Closer,8,16 January 2005
ur2449095,tt0372588,Team America: World Police,5,16 January 2005
ur2488512,tt0055821,Os Cafajestes,8,16 January 2005
ur2375356,tt0034583,Casablanca,10,16 January 2005
ur0200029,tt0332452,Troy,3,16 January 2005
ur3959862,tt0115417,Water Rats,10,16 January 2005
ur0470968,tt0315327,Bruce Almighty,2,16 January 2005
ur4542811,tt0308644,Finding Neverland,10,16 January 2005
ur4301468,tt0096320,Twins,10,16 January 2005
ur0018365,tt0325596,The I Inside,9,16 January 2005
ur2074560,tt0084796,Time Walker,1,16 January 2005
ur4594973,tt0059740,The Sons of Katie Elder,9,16 January 2005
ur4589948,tt0092513,Adventures in Babysitting,10,16 January 2005
ur0165374,tt0175526,Cherry Falls,5,16 January 2005
ur4202413,tt0096895,Batman,8,16 January 2005
ur4595039,tt0054131,Toi... le venin,9,16 January 2005
ur1416505,tt0233115,This Is Personal: The Hunt for the Yorkshire Ripper,5,16 January 2005
ur4547546,tt0299930,Gigli,3,16 January 2005
ur4150259,tt0368891,National Treasure,10,16 January 2005
ur4452141,tt0259153,Rose Red,5,16 January 2005
ur4595023,tt0293508,The Phantom of the Opera,8,16 January 2005
ur1744849,tt0376541,Closer,8,16 January 2005
ur2520568,tt0289879,The Butterfly Effect,8,16 January 2005
ur2020269,tt0257106,Scary Movie 2,3,16 January 2005
ur2982137,tt0057076,From Russia with Love,9,16 January 2005
ur4363516,tt0104346,Gladiator,7,16 January 2005
ur3707431,tt0196000,Plutonium Baby,10,16 January 2005
ur3908456,tt0029583,Snow White and the Seven Dwarfs,9,16 January 2005
ur4332414,tt0089913,Revolution,8,16 January 2005
ur3739378,tt0327554,Catwoman,10,16 January 2005
ur2626332,tt0375731,El Chupacabra,1,16 January 2005
ur1187851,tt0338290,Normal,9,16 January 2005
ur1416505,tt0120917,The Emperor's New Groove,9,16 January 2005
ur0386545,tt0028950,La grande illusion,8,16 January 2005
ur3297354,tt0323298,The Mother,9,16 January 2005
ur0386545,tt0362270,The Life Aquatic with Steve Zissou,8,16 January 2005
ur3301483,tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,6,16 January 2005
ur2792808,tt0231469,Do Badan,10,16 January 2005
ur4595381,tt0337721,The Snow Walker,8,16 January 2005
ur1680038,tt0335266,Lost in Translation,2,16 January 2005
ur3509096,tt0337593,Sherlock,5,16 January 2005
ur1293485,tt0328828,American Wedding,5,16 January 2005
ur4446589,tt0216487,Invincible,7,16 January 2005
ur1843831,tt0364725,Dodgeball: A True Underdog Story,9,16 January 2005
ur1293485,tt0375210,White Noise,3,16 January 2005
ur4188071,tt0378947,Melinda and Melinda,1,16 January 2005
ur4491531,tt0281686,Bubba Ho-Tep,8,16 January 2005
ur2093818,tt0164334,Along Came a Spider,7,16 January 2005
ur2417164,tt0265349,The Mothman Prophecies,8,16 January 2005
ur4595720,tt0079477,A Little Romance,9,16 January 2005
ur3408324,tt0337697,The Prince & Me,6,16 January 2005
ur4595705,tt0375210,White Noise,1,16 January 2005
ur2950235,tt0344510,Un long dimanche de fiançailles,7,16 January 2005
ur4595628,tt0368891,National Treasure,4,16 January 2005
ur1945134,tt0376541,Closer,9,16 January 2005
ur4595831,tt0346491,Alexander,8,16 January 2005
ur2609601,tt0101691,Death Dreams,8,16 January 2005
ur2035872,tt0115906,Citizen Ruth,10,16 January 2005
ur4595827,tt0349683,King Arthur,9,16 January 2005
ur3784319,tt0298203,8 Mile,10,16 January 2005
ur2368601,tt0086274,Segni particolari: bellissimo,4,16 January 2005
ur3689122,tt0309820,Luther,5,16 January 2005
ur0805367,tt0385267,In Good Company,7,16 January 2005
ur4592968,tt0338013,Eternal Sunshine of the Spotless Mind,9,16 January 2005
ur2531610,tt0054215,Psycho,10,16 January 2005
ur4595770,tt0119620,Marius et Jeannette,3,16 January 2005
ur3045318,tt0116282,Fargo,9,16 January 2005
ur4542076,tt0338751,The Aviator,7,16 January 2005
ur0948438,tt0299977,Ying xiong,7,16 January 2005
ur4595933,tt0048667,Strategic Air Command,10,16 January 2005
ur3440984,tt0090264,A View to a Kill,10,16 January 2005
ur4542076,tt0119349,The Ice Storm,9,16 January 2005
ur4596079,tt0196267,Cruel Intentions 2,1,16 January 2005
ur1722659,tt0375210,White Noise,2,16 January 2005
ur2887325,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1,16 January 2005
ur1493202,tt0129196,Legong: Dance of the Virgins,7,16 January 2005
ur0711996,tt0405159,Million Dollar Baby,10,16 January 2005
ur1987509,tt0317198,Bridget Jones: The Edge of Reason,6,16 January 2005
ur2069292,tt0385004,Shi mian mai fu,10,16 January 2005
ur4596103,tt0246578,Donnie Darko,8,16 January 2005
ur4542076,tt0212712,2046,5,16 January 2005
ur4596115,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,10,16 January 2005
ur0139258,tt0118972,The Devil's Own,8,16 January 2005
ur4596020,tt0338751,The Aviator,10,16 January 2005
ur3390598,tt0346491,Alexander,7,16 January 2005
ur4595892,tt0046487,Les vacances de Monsieur Hulot,9,16 January 2005
ur4596111,tt0375210,White Noise,9,16 January 2005
ur1508421,tt0365748,Shaun of the Dead,9,16 January 2005
ur2950235,tt0165929,Romeo Must Die,4,16 January 2005
ur4596192,tt0341540,The R.M.,9,16 January 2005
ur0383429,tt0305847,Mrs Caldicot's Cabbage War,8,16 January 2005
ur4596119,tt0166924,Mulholland Dr.,1,16 January 2005
ur0113623,tt0051198,The Wings of Eagles,9,16 January 2005
ur4595608,tt0350826,One Man and His Dog,7,16 January 2005
ur1637337,tt0072502,Five Red Herrings,7,16 January 2005
ur4596119,tt0375063,Sideways,1,16 January 2005
ur4596161,tt0339291,A Series of Unfortunate Events,7,16 January 2005
ur2530980,tt0064573,Last Summer,3,16 January 2005
ur4282301,tt0393162,Coach Carter,10,16 January 2005
ur2950235,tt0342492,De grønne slagtere,9,16 January 2005
ur4234841,tt0431340,Puppet Master vs Demonic Toys,10,16 January 2005
ur4596289,tt0363473,Beyond the Sea,8,16 January 2005
ur3387924,tt0282195,Talking to Americans,10,16 January 2005
ur4552175,tt0297284,Mindhunters,2,16 January 2005
ur4596119,tt0095560,Mac and Me,1,16 January 2005
ur2628718,tt0022485,Tôkyô no kôrasu,9,16 January 2005
ur4596332,tt0293508,The Phantom of the Opera,4,16 January 2005
ur4277036,tt0375210,White Noise,6,16 January 2005
ur4596474,tt0373074,Kung fu,9,16 January 2005
ur4596451,tt0100403,Predator 2,3,16 January 2005
ur1950786,tt0062873,Les demoiselles de Rochefort,10,16 January 2005
ur1298724,tt0017560,A Wild Roomer,8,16 January 2005
ur4596485,tt0385267,In Good Company,10,16 January 2005
ur0477217,tt0066448,There Was a Crooked Man...,8,16 January 2005
ur3533592,tt0078346,Superman,8,16 January 2005
ur4596543,tt0378947,Melinda and Melinda,1,16 January 2005
ur0355734,tt0031773,Overland with Kit Carson,7,16 January 2005
ur0736738,tt0066858,The Boy Friend,10,16 January 2005
ur4286710,tt0337697,The Prince & Me,3,16 January 2005
ur2636406,tt0320691,Underworld,1,16 January 2005
ur4596587,tt0375210,White Noise,8,16 January 2005
ur4596250,tt0245238,Lost and Delirious,10,16 January 2005
ur0166317,tt0184858,Reindeer Games,8,16 January 2005
ur2581298,tt0053719,The City of the Dead,8,16 January 2005
ur4596656,tt0368920,Perico ripiao,9,16 January 2005
ur4596605,tt0382330,Så som i himmelen,9,16 January 2005
ur4596729,tt0359013,Blade: Trinity,10,16 January 2005
ur4111911,tt0099685,Goodfellas,10,16 January 2005
ur4583666,tt0289879,The Butterfly Effect,6,16 January 2005
ur4596729,tt0322259,2 Fast 2 Furious,10,16 January 2005
ur2721985,tt0180093,Requiem for a Dream,10,16 January 2005
ur4596793,tt0128977,The Bumblebee Flies Anyway,10,16 January 2005
ur4220910,tt0108265,Swing Kids,10,16 January 2005
ur4596751,tt0287457,Genesis,10,16 January 2005
ur4306474,tt0015648,Bronenosets Potyomkin,9,16 January 2005
ur3198732,tt0357277,Elektra,10,16 January 2005
ur3924419,tt0167260,The Lord of the Rings: The Return of the King,10,16 January 2005
ur4596771,tt0308644,Finding Neverland,9,16 January 2005
ur2375356,tt0086250,Scarface,4,16 January 2005
ur4596822,tt0372183,The Bourne Supremacy,10,16 January 2005
ur4437326,tt0393162,Coach Carter,7,16 January 2005
ur2483625,tt0039231,Bush Christmas,7,16 January 2005
ur0119489,tt0335345,The Passion of the Christ,10,16 January 2005
ur0947871,tt0368909,Ong-Bak,8,16 January 2005
ur4571533,tt0357277,Elektra,10,16 January 2005
ur4592854,tt0047528,La strada,8,16 January 2005
ur0453228,tt0375210,White Noise,5,16 January 2005
ur4571533,tt0385267,In Good Company,8,16 January 2005
ur4571533,tt0330793,The Punisher,10,16 January 2005
ur4348286,tt0376890,Silver City,10,16 January 2005
ur4597068,tt0137523,Fight Club,10,16 January 2005
ur4597078,tt0076729,Smokey and the Bandit,10,16 January 2005
ur4596459,tt0338751,The Aviator,8,16 January 2005
ur4546532,tt0332280,The Notebook,10,16 January 2005
ur1764000,tt0301235,Hell House,7,16 January 2005
ur4597018,tt0130444,Aimée & Jaguar,10,16 January 2005
ur1490497,tt0375063,Sideways,10,16 January 2005
ur0072439,tt0368447,The Village,8,16 January 2005
ur4357545,tt0273517,Darkness,1,16 January 2005
ur2691150,tt0029395,Personal Property,10,16 January 2005
ur4304930,tt0374900,Napoleon Dynamite,1,16 January 2005
ur4592854,tt0069191,Roma,7,16 January 2005
ur2547554,tt0273517,Darkness,6,16 January 2005
ur1087875,tt0308644,Finding Neverland,10,16 January 2005
ur2547554,tt0375210,White Noise,4,16 January 2005
ur2135631,tt0362227,The Terminal,9,16 January 2005
ur2547554,tt0067975,What's the Matter with Helen?,6,16 January 2005
ur2547554,tt0067983,Whoever Slew Auntie Roo?,7,16 January 2005
ur4480528,tt0064728,The Night of the Following Day,10,16 January 2005
ur2936672,tt0363547,Dawn of the Dead,7,16 January 2005
ur2547554,tt0074285,Carrie,7,16 January 2005
ur4597413,tt0037911,Micro-Phonies,10,16 January 2005
ur4597417,tt0082910,Piranha Part Two: The Spawning,1,16 January 2005
ur1111192,tt0366526,Gojira tai Mosura tai Mekagojira: Tôkyô S.O.S.,8,16 January 2005
ur0593719,tt0398093,The Hamburg Cell,4,16 January 2005
ur4412945,tt0099685,Goodfellas,10,16 January 2005
ur4534717,tt0361625,Flavors,10,16 January 2005
ur3862807,tt0357277,Elektra,10,16 January 2005
ur4597417,tt0116922,Lost Highway,1,16 January 2005
ur4597593,tt0159382,Croupier,9,16 January 2005
ur4480528,tt0064363,The Gay Deceivers,10,16 January 2005
ur4597599,tt0198021,Where the Heart Is,2,16 January 2005
ur4597413,tt0025688,Punch Drunks,10,16 January 2005
ur0148234,tt0405159,Million Dollar Baby,7,16 January 2005
ur1832331,tt0363226,Zatôichi,8,16 January 2005
ur4479989,tt0376541,Closer,10,16 January 2005
ur3007329,tt0082348,Excalibur,9,16 January 2005
ur4597695,tt0183523,Mission to Mars,9,16 January 2005
ur1851913,tt0407362,Battlestar Galactica,2,16 January 2005
ur4597644,tt0357277,Elektra,1,16 January 2005
ur4596997,tt0293508,The Phantom of the Opera,10,16 January 2005
ur1832331,tt0222851,Brother,9,16 January 2005
ur1771249,tt0293508,The Phantom of the Opera,10,16 January 2005
ur2827912,tt0293508,The Phantom of the Opera,10,16 January 2005
ur4597649,tt0271027,Kiss of the Dragon,10,16 January 2005
ur2626332,tt0267804,The One,4,16 January 2005
ur0992453,tt0124198,Very Bad Things,1,16 January 2005
ur0153755,tt0056802,"80,000 Suspects",5,16 January 2005
ur4172474,tt0287978,Daredevil,9,16 January 2005
ur0591310,tt0361411,Bride & Prejudice,1,16 January 2005
ur1214842,tt0375210,White Noise,3,16 January 2005
ur4597997,tt0340529,Imperium: Augustus,10,16 January 2005
ur4598005,tt0375210,White Noise,2,16 January 2005
ur0059434,tt0087799,Night of the Comet,10,16 January 2005
ur4598047,tt0052357,Vertigo,10,16 January 2005
ur4597977,tt0318627,Resident Evil: Apocalypse,1,16 January 2005
ur0992453,tt0102296,Liu chai yim tam 2: Ng tung san,5,16 January 2005
ur4597563,tt0253474,The Pianist,9,16 January 2005
ur4597830,tt0349903,Ocean's Twelve,3,16 January 2005
ur2382545,tt0086112,The Pirates of Penzance,8,16 January 2005
ur4598019,tt0028691,Captains Courageous,10,16 January 2005
ur2890500,tt0368447,The Village,1,16 January 2005
ur4598132,tt0058182,A Hard Day's Night,10,16 January 2005
ur4597890,tt0387564,Saw,1,16 January 2005
ur0313019,tt0304141,Harry Potter and the Prisoner of Azkaban,9,16 January 2005
ur4598229,tt0338013,Eternal Sunshine of the Spotless Mind,10,16 January 2005
ur4598159,tt0110169,It's Pat: The Movie,10,16 January 2005
ur4598019,tt0071994,Phantom of the Paradise,10,16 January 2005
ur2626332,tt0120655,Dogma,8,16 January 2005
ur4598160,tt0127953,Unwed Father,9,16 January 2005
ur0270164,tt0144117,The Boondock Saints,1,16 January 2005
ur3379318,tt0391198,The Grudge,2,16 January 2005
ur2420383,tt0119643,Meet Joe Black,8,16 January 2005
ur3769621,tt0293508,The Phantom of the Opera,9,16 January 2005
ur3280905,tt0033226,Virginia City,7,16 January 2005
ur4598108,tt0367479,After the Sunset,7,16 January 2005
ur2990707,tt0357277,Elektra,10,16 January 2005
ur4519345,tt0156342,Barjatri,10,13 January 2005
ur4312361,tt0425079,Gönül Yarasi,7,13 January 2005
ur0793827,tt0357995,Othello,10,14 January 2005
ur2947906,tt0293508,The Phantom of the Opera,4,16 January 2005
ur3677730,tt0256380,Shallow Hal,9,16 January 2005
ur3990701,tt0333766,Garden State,10,16 January 2005
ur2217548,tt0386092,Un amour de femme,7,16 January 2005
ur4598420,tt0206762,Friends and Family,8,16 January 2005
ur4598444,tt0327137,Secondhand Lions,10,16 January 2005
ur2243234,tt0085662,Detenute violente,2,15 January 2005
ur4422567,tt0050512,Hit and Run,10,15 January 2005
ur0748490,tt0426104,McBride: The Chameleon Murder,4,15 January 2005
ur2243234,tt0259675,Tortured Females,3,15 January 2005
ur1024395,tt0111751,Wrony,10,15 January 2005
ur4419097,tt0434964,Gammera the Invincible,4,15 January 2005
ur0718623,tt0365913,The Watermelon Heist,1,15 January 2005
ur0622666,tt0425144,"It's No Crush, I'm in Love",8,16 January 2005
ur0457318,tt0074253,Budapesti mesék,8,16 January 2005
ur3363036,tt0105598,Tiny Toon Adventures: How I Spent My Vacation,10,16 January 2005
ur3379318,tt0338751,The Aviator,9,16 January 2005
ur3862340,tt0078490,Who'll Stop the Rain,9,16 January 2005
ur0354869,tt0098185,"Religion, Inc.",1,16 January 2005
ur4596445,tt0022835,Dr. Jekyll and Mr. Hyde,10,16 January 2005
ur4428565,tt0276744,13 Moons,3,16 January 2005
ur4592854,tt0212720,A.I. Artificial Intelligence,5,16 January 2005
ur4059131,tt0048593,The Sea Chase,9,16 January 2005
ur1614053,tt0391024,Control Room,9,16 January 2005
ur3217153,tt0293508,The Phantom of the Opera,10,16 January 2005
ur3102583,tt0385004,Shi mian mai fu,6,16 January 2005
ur0166205,tt0065480,Bloodthirsty Butchers,1,16 January 2005
ur4570721,tt0368447,The Village,9,16 January 2005
ur4598493,tt0087244,Fatal Vision,10,16 January 2005
ur1681420,tt0340855,Monster,9,16 January 2005
ur1774153,tt0356618,The Forgotten,8,16 January 2005
ur4598674,tt0311429,The League of Extraordinary Gentlemen,10,16 January 2005
ur3494098,tt0105629,Toys,9,16 January 2005
ur1395020,tt0064179,The Comic,9,16 January 2005
ur4598659,tt0293508,The Phantom of the Opera,9,16 January 2005
ur2351501,tt0084701,The Snowman,10,16 January 2005
ur2632737,tt0368008,The Manchurian Candidate,10,16 January 2005
ur2003787,tt0333766,Garden State,6,16 January 2005
ur1693235,tt0018927,The Garden of Eden,10,16 January 2005
ur4598870,tt0293508,The Phantom of the Opera,10,16 January 2005
ur3615725,tt0290334,X2,9,16 January 2005
ur4598604,tt0098763,Captain Planet and the Planeteers,9,16 January 2005
ur0133772,tt0061065,Tanin no kao,7,16 January 2005
ur2622505,tt0299977,Ying xiong,5,16 January 2005
ur3629707,tt0437984,The Dry Spell,10,15 January 2005
ur2766295,tt0438140,L.A. Dream,10,13 January 2005
ur4131581,tt0067089,A fekete város,10,13 January 2005
ur4093461,tt0369226,Alone in the Dark,4,16 January 2005
ur4576555,tt0396041,Gory Gory Hallelujah,9,13 January 2005
ur4576512,tt0396041,Gory Gory Hallelujah,10,13 January 2005
ur3412084,tt0180460,Avanture Borivoja Surdilovica,9,13 January 2005
ur2776875,tt0097259,Easy Kill,1,13 January 2005
ur4598948,tt0046438,Tôkyô monogatari,1,16 January 2005
ur4599015,tt0069198,The Ruling Class,10,17 January 2005
ur2532485,tt0395169,Hotel Rwanda,9,17 January 2005
ur4599070,tt0179116,But I'm a Cheerleader,9,17 January 2005
ur4599011,tt0072783,Chupke Chupke,10,17 January 2005
ur3780188,tt0346491,Alexander,9,17 January 2005
ur4578983,tt0306872,The 'Space: 1999' Documentary,9,14 January 2005
